food,diabetes,hypertension,ckd,allergy_flag,source_diabetes,source_hypertension,source_ckd,notes
apple_pie,limit,limit,limit,none,NICE NG28 – high refined carbs spike BG,AHA – high sugar/saturated fat,KDOQI 2020 – high potassium/phosphate in filling,Dessert; limit portions
baby_back_ribs,limit,avoid,limit,none,Diabetes UK – high saturated fat impairs insulin sensitivity,NICE NG136 / AHA – very high sodium+saturated fat,KDOQI 2020 – high phosphate additives in processed pork,Processed smoked meat
baklava,limit,limit,limit,none,NICE NG28 – very high sugar + refined carbs,AHA – high sugar + saturated fat,KDOQI 2020 – nuts high in potassium/phosphate,Limit to small portion
beef_carpaccio,limit,limit,recommend,none,Diabetes UK – lean red meat in moderation,NICE NG136 – watch sodium in dressings,KDOQI 2020 – low potassium / moderate protein,Raw lean beef; small portion
beef_tartare,limit,limit,recommend,none,Diabetes UK – lean protein moderate,NICE NG136 – sodium watch,KDOQI 2020 – moderate protein fine at stage 3,Raw lean beef; portion controlled
beet_salad,recommend,recommend,limit,none,Diabetes UK – low GI vegetables,AHA/DASH – potassium rich supports BP,KDOQI 2020 – high potassium; restrict in CKD stage 3+,Beetroot high K
beignets,avoid,limit,limit,none,NICE NG28 – deep-fried refined carb; rapid BG spike,AHA – high saturated fat,KDOQI 2020 – phosphate in batter,Deep-fried dough
bibimbap,recommend,limit,recommend,none,Diabetes UK – whole grain rice + vegetables,NICE NG136 – gochujang paste high in sodium,KDOQI 2020 – balanced; moderate potassium,Korean mixed rice bowl
bread_pudding,avoid,limit,limit,gluten,NICE NG28 – high sugar + refined starch,AHA – high sugar/fat,KDOQI 2020 – high phosphate dairy,High-sugar dessert
caesar_salad,recommend,limit,recommend,none,Diabetes UK – low carb greens + lean protein,NICE NG136 – dressing high in sodium,KDOQI 2020 – moderate protein; watch anchovy sodium,Sodium in dressing
cannoli,avoid,limit,limit,none,NICE NG28 – high sugar + refined starch,AHA – high saturated fat,KDOQI 2020 – high phosphate dairy + pastry,High-sugar dessert
caprese_salad,recommend,recommend,recommend,none,Diabetes UK – low GI; healthy fats,AHA/DASH – low sodium; potassium from tomato,KDOQI 2020 – low potassium/phosphate,Fresh tomato + mozzarella
carrot_cake,limit,limit,limit,gluten,NICE NG28 – moderate GI; frosting raises sugar,AHA – high sugar + saturated fat frosting,KDOQI 2020 – carrots moderate K; dairy frosting raises P,Cake with cream cheese frosting
ceviche,recommend,limit,recommend,shellfish,Diabetes UK – lean protein; low carb,NICE NG136 – lime/salt watch,KDOQI 2020 – low potassium; lean protein,Fresh fish; watch sodium
cheesecake,avoid,limit,avoid,none,NICE NG28 – very high sugar + fat,AHA – very high saturated fat + sugar,KDOQI 2020 – very high phosphate + potassium (dairy),High dairy + sugar
chicken_curry,recommend,limit,limit,none,Diabetes UK – lean protein + spices; low GI,NICE NG136 – sodium in curry sauces; watch salt added,KDOQI 2020 – high potassium in tomato base; potassium watch,Sauce sodium key variable
chicken_quesadilla,limit,limit,limit,gluten,NICE NG28 – refined tortilla raises BG,NICE NG136 – cheese + sodium high,KDOQI 2020 – moderate phosphate dairy,Refined carb + cheese
chicken_wings,limit,avoid,limit,none,Diabetes UK – fried + sauce raises BG,AHA – very high sodium in sauces,KDOQI 2020 – phosphate additives common in processed wings,Fried with high-sodium sauce
chocolate_cake,avoid,limit,avoid,gluten,NICE NG28 – very high sugar + refined flour,AHA – high sugar + saturated fat,KDOQI 2020 – chocolate high in potassium + phosphate,High-risk dessert
chocolate_mousse,avoid,limit,avoid,none,NICE NG28 – high sugar + fat,AHA – high saturated fat,KDOQI 2020 – dark chocolate very high K+P,Dark chocolate + cream
churros,avoid,limit,limit,gluten,NICE NG28 – deep-fried refined carb,AHA – fried + sugar coating,KDOQI 2020 – phosphate in batter,Deep-fried dough + sugar
club_sandwich,limit,limit,limit,gluten,Diabetes UK – white bread spikes BG; use wholemeal,NICE NG136 – processed meat + bread high sodium,KDOQI 2020 – processed meat high phosphate,Processed meat + white bread
crab_cakes,recommend,limit,recommend,shellfish,Diabetes UK – lean seafood protein,NICE NG136 – high sodium in breading/seasoning,KDOQI 2020 – low potassium seafood,Crab high in selenium; sodium from seasoning
